Date,High,Low,Open,Close,Volume,Adj Close,Name
1986-11-06,7.15625,6.875,7.0625,7.0,17902800.0,3.364823579788208,UNM
1986-11-07,7.0,6.84375,7.0,6.96875,6288000.0,3.3497989177703857,UNM
1986-11-10,6.90625,6.75,6.90625,6.78125,3060000.0,3.259669542312622,UNM
1986-11-11,6.875,6.78125,6.78125,6.875,1130000.0,3.304736614227295,UNM
1986-11-12,6.9375,6.8125,6.875,6.875,2082800.0,3.304736614227295,UNM
1986-11-13,6.84375,6.8125,6.84375,6.8125,891200.0,3.274693489074707,UNM
1986-11-14,6.875,6.78125,6.8125,6.875,952000.0,3.304736614227295,UNM
1986-11-17,6.84375,6.75,6.8125,6.75,1055200.0,3.2446484565734863,UNM
1986-11-18,6.78125,6.59375,6.75,6.625,2426400.0,3.184563636779785,UNM
1986-11-19,6.625,6.5,6.625,6.53125,2026000.0,3.1394991874694824,UNM
1986-11-20,6.65625,6.53125,6.59375,6.625,3253600.0,3.184563636779785,UNM
1986-11-21,6.71875,6.65625,6.71875,6.71875,639600.0,3.229628086090088,UNM
1986-11-24,6.71875,6.65625,6.6875,6.65625,660000.0,3.1995837688446045,UNM
1986-11-25,6.71875,6.5625,6.65625,6.6875,1080000.0,3.2146058082580566,UNM
1986-11-26,6.75,6.5625,6.6875,6.6875,963200.0,3.2146058082580566,UNM
1986-11-28,6.71875,6.65625,6.6875,6.71875,521600.0,3.229628086090088,UNM
1986-12-01,6.75,6.6875,6.6875,6.75,662000.0,3.2446484565734863,UNM
1986-12-02,6.875,6.75,6.75,6.875,1161200.0,3.304736614227295,UNM
1986-12-03,7.0625,6.875,6.875,6.96875,1210400.0,3.3497989177703857,UNM
1986-12-04,6.96875,6.875,6.96875,6.90625,1446400.0,3.319755792617798,UNM
1986-12-05,6.90625,6.84375,6.875,6.84375,737600.0,3.2897145748138428,UNM
1986-12-08,6.84375,6.75,6.8125,6.75,703600.0,3.2446484565734863,UNM
1986-12-09,6.78125,6.75,6.75,6.75,444800.0,3.2446484565734863,UNM
1986-12-10,6.78125,6.71875,6.75,6.71875,902400.0,3.229628086090088,UNM
1986-12-11,6.78125,6.59375,6.75,6.6875,550400.0,3.2146058082580566,UNM
1986-12-12,6.75,6.65625,6.6875,6.75,356800.0,3.2446484565734863,UNM
1986-12-15,6.75,6.65625,6.71875,6.71875,521200.0,3.229628086090088,UNM
1986-12-16,6.71875,6.625,6.6875,6.65625,835600.0,3.1995837688446045,UNM
1986-12-17,6.65625,6.625,6.65625,6.625,803600.0,3.184563636779785,UNM
1986-12-18,6.65625,6.53125,6.625,6.59375,1108000.0,3.1695396900177,UNM
1986-12-19,6.625,6.5,6.5,6.625,556000.0,3.184563636779785,UNM
1986-12-22,6.5625,6.5,6.5625,6.5625,1456000.0,3.1545207500457764,UNM
1986-12-23,6.5625,6.5,6.53125,6.5625,574000.0,3.1545207500457764,UNM
1986-12-24,6.6875,6.5,6.6875,6.53125,322400.0,3.1394991874694824,UNM
1986-12-26,6.5625,6.5,6.5,6.5625,486000.0,3.1545207500457764,UNM
1986-12-29,6.53125,6.46875,6.53125,6.53125,693200.0,3.1394991874694824,UNM
1986-12-30,6.5625,6.4375,6.53125,6.5625,910000.0,3.1545207500457764,UNM
1986-12-31,6.71875,6.5,6.5,6.71875,841600.0,3.229628086090088,UNM
1987-01-02,6.8125,6.625,6.6875,6.8125,264800.0,3.274693489074707,UNM
1987-01-05,6.96875,6.8125,6.8125,6.9375,668400.0,3.3347787857055664,UNM
1987-01-06,6.96875,6.84375,6.875,6.96875,554400.0,3.3497989177703857,UNM
1987-01-07,7.15625,6.9375,6.9375,7.15625,748400.0,3.4399290084838867,UNM
1987-01-08,7.5625,7.09375,7.125,7.5625,596800.0,3.6352086067199707,UNM
1987-01-09,7.75,7.40625,7.53125,7.625,759600.0,3.6652517318725586,UNM
1987-01-12,7.78125,7.5625,7.5625,7.625,1196800.0,3.6652517318725586,UNM
1987-01-13,7.59375,7.34375,7.5625,7.40625,504800.0,3.560100793838501,UNM
1987-01-14,7.59375,7.4375,7.46875,7.5,611600.0,3.60516619682312,UNM
1987-01-15,7.59375,7.46875,7.46875,7.5,463200.0,3.60516619682312,UNM
1987-01-16,7.65625,7.4375,7.53125,7.625,412800.0,3.6652517318725586,UNM
1987-01-19,7.625,7.5,7.5625,7.5625,161600.0,3.6352086067199707,UNM
1987-01-20,7.625,7.53125,7.59375,7.59375,642000.0,3.662339210510254,UNM
1987-01-21,7.625,7.53125,7.5625,7.53125,505200.0,3.632195234298706,UNM
1987-01-22,7.53125,7.375,7.53125,7.4375,618000.0,3.586981773376465,UNM
1987-01-23,7.625,7.4375,7.46875,7.625,573200.0,3.6774086952209473,UNM
1987-01-26,7.5,7.375,7.5,7.375,594800.0,3.556837797164917,UNM
1987-01-27,7.5,7.28125,7.3125,7.46875,488400.0,3.6020514965057373,UNM
1987-01-28,7.53125,7.4375,7.4375,7.4375,462000.0,3.586981773376465,UNM
1987-01-29,7.5,7.375,7.40625,7.375,574000.0,3.556837797164917,UNM
1987-01-30,7.46875,7.34375,7.375,7.375,265600.0,3.556837797164917,UNM
1987-02-02,7.53125,7.34375,7.5,7.53125,900000.0,3.632195234298706,UNM
1987-02-03,7.625,7.5,7.5625,7.53125,1131600.0,3.632195234298706,UNM
1987-02-04,7.5,7.40625,7.5,7.46875,498800.0,3.6020514965057373,UNM
1987-02-05,7.53125,7.3125,7.34375,7.40625,1638800.0,3.5719072818756104,UNM
1987-02-06,7.53125,7.40625,7.4375,7.53125,673600.0,3.632195234298706,UNM
1987-02-09,7.5625,7.40625,7.46875,7.5,487600.0,3.617124319076538,UNM
1987-02-10,7.5,7.4375,7.46875,7.46875,300800.0,3.6020514965057373,UNM
1987-02-11,7.53125,7.46875,7.46875,7.5,228000.0,3.617124319076538,UNM
1987-02-12,7.59375,7.5,7.53125,7.53125,324800.0,3.632195234298706,UNM
1987-02-13,7.75,7.53125,7.53125,7.75,402800.0,3.737694501876831,UNM
1987-02-17,7.8125,7.5,7.75,7.5,933200.0,3.617124319076538,UNM
1987-02-18,7.5625,7.34375,7.5625,7.375,702400.0,3.556837797164917,UNM
1987-02-19,7.84375,7.09375,7.3125,7.75,1086400.0,3.737694501876831,UNM
1987-02-20,7.75,7.1875,7.75,7.25,3002000.0,3.496553659439087,UNM
