Date,High,Low,Open,Close,Volume,Adj Close,Name
1997-05-28,21.375,20.625,20.625,21.0,1862700.0,8.727474212646484,ARE
1997-05-29,21.375,21.0,21.0,21.375,296800.0,8.883316993713379,ARE
1997-05-30,22.125,21.125,21.125,22.0,220400.0,9.143068313598633,ARE
1997-06-02,22.25,21.5,22.125,22.0,66800.0,9.143068313598633,ARE
1997-06-03,22.125,21.625,21.75,22.125,180000.0,9.19501781463623,ARE
1997-06-04,22.25,21.75,22.25,21.875,99900.0,9.091116905212402,ARE
1997-06-05,21.875,21.25,21.5,21.875,291600.0,9.091116905212402,ARE
1997-06-06,21.5,21.5,21.5,21.5,0.0,8.935266494750977,ARE
1997-06-09,21.5,21.5,21.5,21.5,0.0,8.935266494750977,ARE
1997-06-10,21.75,21.5,21.5,21.75,57600.0,9.039170265197754,ARE
1997-06-11,21.625,21.125,21.375,21.25,146600.0,8.831368446350098,ARE
1997-06-12,21.625,21.125,21.25,21.375,73300.0,8.883316993713379,ARE
1997-06-13,21.375,21.25,21.25,21.25,134200.0,8.831368446350098,ARE
1997-06-16,21.625,21.25,21.25,21.625,73200.0,8.987215042114258,ARE
1997-06-17,21.5,21.375,21.375,21.375,53300.0,8.883316993713379,ARE
1997-06-18,21.625,21.375,21.5,21.5,54100.0,8.935266494750977,ARE
1997-06-19,21.625,21.5,21.5,21.5,44100.0,8.935266494750977,ARE
1997-06-20,21.75,21.5,21.5,21.625,37800.0,8.987215042114258,ARE
1997-06-23,21.875,21.375,21.625,21.375,80800.0,8.883316993713379,ARE
1997-06-24,21.5,21.25,21.5,21.5,116000.0,8.935266494750977,ARE
1997-06-25,21.625,21.25,21.5,21.625,127400.0,8.987215042114258,ARE
1997-06-26,21.75,21.5,21.625,21.625,52100.0,8.987215042114258,ARE
1997-06-27,21.875,21.375,21.5,21.75,44500.0,9.039170265197754,ARE
1997-06-30,21.875,21.375,21.75,21.875,60300.0,9.091116905212402,ARE
1997-07-01,22.625,21.625,21.625,22.5,121300.0,9.350859642028809,ARE
1997-07-02,22.5,22.125,22.5,22.5,77300.0,9.404150009155273,ARE
1997-07-03,22.75,22.375,22.625,22.75,46000.0,9.508646011352539,ARE
1997-07-07,23.0,22.625,22.75,22.75,122200.0,9.508646011352539,ARE
1997-07-08,22.75,22.375,22.75,22.75,50400.0,9.508646011352539,ARE
1997-07-09,22.875,22.5,22.75,22.75,97000.0,9.508646011352539,ARE
1997-07-10,22.875,22.625,22.75,22.75,99000.0,9.508646011352539,ARE
1997-07-11,22.875,22.25,22.75,22.875,136100.0,9.560887336730957,ARE
1997-07-14,23.875,22.875,22.875,23.5,106600.0,9.822111129760742,ARE
1997-07-15,24.0,23.25,23.25,23.75,85400.0,9.926603317260742,ARE
1997-07-16,24.25,23.75,24.0,24.0,68800.0,10.031095504760742,ARE
1997-07-17,24.125,23.625,23.75,23.875,53000.0,9.978850364685059,ARE
1997-07-18,23.875,23.75,23.75,23.875,126500.0,9.978850364685059,ARE
1997-07-21,24.0,23.75,23.875,24.0,111800.0,10.031095504760742,ARE
1997-07-22,24.0,23.75,24.0,24.0,38800.0,10.031095504760742,ARE
1997-07-23,24.25,23.875,24.0,24.25,180000.0,10.135586738586426,ARE
1997-07-24,24.125,24.0,24.0,24.0,47600.0,10.031095504760742,ARE
1997-07-25,24.25,24.0,24.125,24.25,25500.0,10.135586738586426,ARE
1997-07-28,24.5,24.125,24.25,24.25,96800.0,10.135586738586426,ARE
1997-07-29,24.375,24.0,24.25,24.375,19900.0,10.187832832336426,ARE
1997-07-30,24.625,24.375,24.375,24.5,59600.0,10.240077018737793,ARE
1997-07-31,25.0,24.625,24.625,24.625,83500.0,10.292315483093262,ARE
1997-08-01,25.0,24.625,24.75,24.75,18700.0,10.344565391540527,ARE
1997-08-04,25.75,24.625,24.625,25.75,25700.0,10.762526512145996,ARE
1997-08-05,25.625,24.875,25.625,25.5,393700.0,10.658040046691895,ARE
1997-08-06,25.5,25.25,25.5,25.375,59700.0,10.605792999267578,ARE
1997-08-07,25.75,25.5,25.625,25.5,23800.0,10.658040046691895,ARE
1997-08-08,26.0,25.375,25.5,26.0,25500.0,10.867023468017578,ARE
1997-08-11,26.125,25.625,26.125,25.625,9600.0,10.710281372070312,ARE
1997-08-12,25.875,25.5,25.75,25.5,44600.0,10.658040046691895,ARE
1997-08-13,25.75,25.5,25.5,25.5,47300.0,10.658040046691895,ARE
1997-08-14,25.875,25.5,25.5,25.625,8800.0,10.710281372070312,ARE
1997-08-15,25.5,25.5,25.5,25.5,2800.0,10.658040046691895,ARE
1997-08-18,25.625,25.5,25.5,25.5,4900.0,10.658040046691895,ARE
1997-08-19,26.125,25.5,25.5,26.0,22600.0,10.867023468017578,ARE
1997-08-20,26.125,26.0,26.0,26.0,68800.0,10.867023468017578,ARE
1997-08-21,26.25,26.0,26.125,26.0,43200.0,10.867023468017578,ARE
1997-08-22,26.25,25.875,26.0,26.125,22000.0,10.919258117675781,ARE
1997-08-25,26.5,26.125,26.25,26.25,16300.0,10.97150993347168,ARE
1997-08-26,26.125,25.625,26.0,25.625,19200.0,10.710281372070312,ARE
1997-08-27,25.875,25.625,25.75,25.75,3900.0,10.762526512145996,ARE
1997-08-28,26.25,25.75,25.75,26.125,8300.0,10.919258117675781,ARE
1997-08-29,26.25,26.0,26.125,26.125,4600.0,10.919258117675781,ARE
1997-09-02,26.25,25.875,26.125,26.125,14600.0,10.919258117675781,ARE
1997-09-03,27.0,26.125,26.125,27.0,19000.0,11.284982681274414,ARE
1997-09-04,27.625,26.875,26.875,27.625,31100.0,11.546212196350098,ARE
1997-09-05,28.5,27.375,27.375,28.5,51700.0,11.91192626953125,ARE
1997-09-08,28.375,27.5,28.25,27.5,90400.0,11.493969917297363,ARE
1997-09-09,27.0,27.0,27.0,27.0,0.0,11.284982681274414,ARE
1997-09-10,27.0,26.0,26.875,26.125,41300.0,10.919258117675781,ARE
1997-09-11,26.375,26.125,26.125,26.375,102800.0,11.02375316619873,ARE
1997-09-12,26.375,26.0,26.125,26.125,21500.0,10.919258117675781,ARE
1997-09-15,26.875,26.0,26.0,26.75,9500.0,11.180492401123047,ARE
1997-09-16,27.375,26.75,26.75,27.25,9700.0,11.389473915100098,ARE
1997-09-17,27.625,26.875,27.5,27.0,41100.0,11.284982681274414,ARE
1997-09-18,27.25,27.0,27.25,27.0,3400.0,11.284982681274414,ARE
1997-09-19,27.0,26.625,26.75,26.625,50600.0,11.128246307373047,ARE
1997-09-22,27.0,26.5,26.625,27.0,51900.0,11.284982681274414,ARE
1997-09-23,27.25,26.875,27.25,27.125,111200.0,11.337230682373047,ARE
1997-09-24,27.25,26.5,27.125,26.75,60700.0,11.180492401123047,ARE
