Date,High,Low,Open,Close,Volume,Adj Close,Name
1988-01-26,11.75,11.25,11.5,11.5,7244600.0,7.407806396484375,MOS
1988-01-27,12.375,11.4375,11.5625,12.375,3652400.0,7.971442699432373,MOS
1988-01-28,12.5625,12.125,12.25,12.5625,2180000.0,8.092220306396484,MOS
1988-01-29,12.5625,11.875,12.4375,12.25,1335400.0,7.890922546386719,MOS
1988-02-01,12.25,11.9375,12.125,12.0,488800.0,7.729886531829834,MOS
1988-02-02,12.0,11.8125,12.0,12.0,476800.0,7.729886531829834,MOS
1988-02-03,12.625,12.0,12.0,12.125,1284600.0,7.810405731201172,MOS
1988-02-04,12.3125,12.0625,12.125,12.3125,328000.0,7.931183815002441,MOS
1988-02-05,12.4375,12.25,12.25,12.375,403600.0,7.971442699432373,MOS
1988-02-08,12.125,11.875,12.125,12.0,143400.0,7.729886531829834,MOS
1988-02-09,12.125,11.875,12.125,11.875,157000.0,7.649363994598389,MOS
1988-02-10,12.3125,12.0,12.0,12.25,456400.0,7.890922546386719,MOS
1988-02-11,12.5625,12.375,12.375,12.375,484000.0,7.971442699432373,MOS
1988-02-12,12.8125,12.5,12.5,12.75,222600.0,8.213004112243652,MOS
1988-02-16,13.25,12.8125,12.8125,13.25,838000.0,8.535080909729004,MOS
1988-02-17,13.4375,12.875,13.25,13.0625,642400.0,8.414300918579102,MOS
1988-02-18,13.3125,12.9375,13.0,13.25,516000.0,8.535080909729004,MOS
1988-02-19,14.625,13.25,13.25,14.25,1103400.0,9.179239273071289,MOS
1988-02-22,14.25,14.0,14.125,14.1875,326600.0,9.138980865478516,MOS
1988-02-23,14.125,13.8125,14.125,14.0,245000.0,9.018193244934082,MOS
1988-02-24,13.9375,13.75,13.9375,13.875,271600.0,8.9376802444458,MOS
1988-02-25,14.25,13.875,13.875,14.0625,948000.0,9.05845832824707,MOS
1988-02-26,14.125,14.0,14.0625,14.125,256000.0,9.098719596862793,MOS
1988-02-29,15.1875,14.1875,14.25,15.125,647800.0,9.742873191833496,MOS
1988-03-01,15.375,14.875,15.1875,14.875,587200.0,9.581835746765137,MOS
1988-03-02,15.1875,14.8125,14.8125,15.1875,192000.0,9.783132553100586,MOS
1988-03-03,15.3125,15.0,15.3125,15.0,232800.0,9.662355422973633,MOS
